# l_x l_y  l_re  l_q  l_pa  l_n  l_mag  s_x  s_y  s_re  s_q  s_pa  s_n  s_mag  l_mx  l_my  l_b  l_q  l_pa  l_eta  sh_x  sh_y  sh_b  sh_pa 
120.0 120.0 123 0.8 126 6.0 20.40 114.4 119.4 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.4 119.6 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.4 119.8 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.4 120.0 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.4 120.2 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.4 120.4 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.4 120.6 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.4 120.8 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.4 121.0 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.4 121.2 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.4 121.4 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.6 119.4 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.6 119.6 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.6 119.8 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.6 120.0 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.6 120.2 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.6 120.4 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.6 120.6 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.6 120.8 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.6 121.0 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.6 121.2 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.6 121.4 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.8 119.4 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.8 119.6 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.8 119.8 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.8 120.0 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.8 120.2 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.8 120.4 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.8 120.6 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.8 120.8 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.8 121.0 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.8 121.2 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 114.8 121.4 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 115.0 119.4 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 115.0 119.6 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 115.0 119.8 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 115.0 120.0 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 115.0 120.2 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 115.0 120.4 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 115.0 120.6 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
120.0 120.0 123 0.8 126 6.0 20.40 115.0 120.8 0.4 1.0 0.0 2.0 18.0 120.0 120.0 37.00 0.6 114.57 1.2000 120.0 120.0 0.0 0.0
