# l_x l_y  l_re  l_q  l_pa  l_n  l_mag  s_x  s_y  s_re  s_q  s_pa  s_n  s_mag  l_mx  l_my  l_b  l_q  l_pa  l_eta  sh_x  sh_y  sh_b  sh_pa 
180.0 180.0 90.000 0.9 120.0 5.0 17.7 154.27 167.98 18.0 0.7 41.0 2.0 21.0 180.0 180.0 75.45 0.65 293 1.2 180.0 180.0 0.0 0.0
180.0 180.0 90.000 0.9 120.0 5.0 17.7 154.27 167.98 18.0 0.7 41.0 2.0 21.5 180.0 180.0 75.45 0.65 293 1.2 180.0 180.0 0.0 0.0
180.0 180.0 90.000 0.9 120.0 5.0 17.7 154.27 167.98 18.0 0.7 41.0 2.0 22.0 180.0 180.0 75.45 0.65 293 1.2 180.0 180.0 0.0 0.0
180.0 180.0 90.000 0.9 120.0 5.0 17.7 154.27 167.98 18.0 0.7 41.0 2.0 22.5 180.0 180.0 75.45 0.65 293 1.2 180.0 180.0 0.0 0.0
180.0 180.0 90.000 0.9 120.0 5.0 17.7 154.27 167.98 18.0 0.7 41.0 4.0 21.0 180.0 180.0 75.45 0.65 293 1.2 180.0 180.0 0.0 0.0
180.0 180.0 90.000 0.9 120.0 5.0 17.7 154.27 167.98 18.0 0.7 41.0 4.0 21.5 180.0 180.0 75.45 0.65 293 1.2 180.0 180.0 0.0 0.0
180.0 180.0 90.000 0.9 120.0 5.0 17.7 154.27 167.98 18.0 0.7 41.0 4.0 22.0 180.0 180.0 75.45 0.65 293 1.2 180.0 180.0 0.0 0.0
180.0 180.0 90.000 0.9 120.0 5.0 17.7 154.27 167.98 18.0 0.7 41.0 4.0 22.5 180.0 180.0 75.45 0.65 293 1.2 180.0 180.0 0.0 0.0
180.0 180.0 90.000 0.9 120.0 5.0 17.7 154.27 167.98 18.0 1.0 41.0 2.0 21.0 180.0 180.0 75.45 0.65 293 1.2 180.0 180.0 0.0 0.0
180.0 180.0 90.000 0.9 120.0 5.0 17.7 154.27 167.98 18.0 1.0 41.0 2.0 21.5 180.0 180.0 75.45 0.65 293 1.2 180.0 180.0 0.0 0.0
